x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
3.003064005,-12.46192707,3.003064005,-12.55509904,3.003064005,-12.60252185,3.003064005,-12.57874591,3.003064005,-12.50001653,3.003064005,-12.62206312,3.003064005,-12.58676938,3.003064005,-12.60995504,
3.016028982,-12.48256224,3.016028982,-12.5754546,3.016028982,-12.59631589,3.016028982,-12.57766295,3.016028982,-12.53385316,3.016028982,-12.55176578,3.016028982,-12.62160292,3.016028982,-12.69581859,
3.028618109,-12.49414057,3.028618109,-12.58222944,3.028618109,-12.62687131,3.028618109,-12.607036,3.028618109,-12.49563763,3.028618109,-12.54363596,3.028618109,-12.68461082,3.028618109,-12.62366798,
3.040852566,-12.55669203,3.040852566,-12.52179082,3.040852566,-12.67470536,3.040852566,-12.554178,3.040852566,-12.50717637,3.040852566,-12.51480001,3.040852566,-12.66520132,3.040852566,-12.62668973,
3.052751789,-12.52314675,3.052751789,-12.51357409,3.052751789,-12.66675673,3.052751789,-12.56799604,3.052751789,-12.51763481,3.052751789,-12.55591542,3.052751789,-12.60547555,3.052751789,-12.65058144,
3.064333662,-12.50100662,3.064333662,-12.53657595,3.064333662,-12.58180344,3.064333662,-12.57537159,3.064333662,-12.59377856,3.064333662,-12.54794521,3.064333662,-12.60385983,3.064333662,-12.63604017,
3.075614672,-12.50210079,3.075614672,-12.5910026,3.075614672,-12.47363841,3.075614672,-12.67779907,3.075614672,-12.61881629,3.075614672,-12.57879565,3.075614672,-12.5905221,3.075614672,-12.6686051,
3.086610056,-12.54659193,3.086610056,-12.56664148,3.086610056,-12.53465828,3.086610056,-12.64699293,3.086610056,-12.54283992,3.086610056,-12.52485328,3.086610056,-12.5741825,3.086610056,-12.66112073,
3.097333922,-12.46768035,3.097333922,-12.62729206,3.097333922,-12.5880693,3.097333922,-12.58427199,3.097333922,-12.5083265,3.097333922,-12.53329647,3.097333922,-12.59209343,3.097333922,-12.57261393,
3.107799355,-12.50706995,3.107799355,-12.56642644,3.107799355,-12.59653622,3.107799355,-12.62748762,3.107799355,-12.48923062,3.107799355,-12.55932967,3.107799355,-12.55098236,3.107799355,-12.58397328,
3.118018521,-12.50466921,3.118018521,-12.57424245,3.118018521,-12.5828331,3.118018521,-12.66484498,3.118018521,-12.54121035,3.118018521,-12.61959488,3.118018521,-12.60064828,3.118018521,-12.65194762,
3.128002742,-12.54439987,3.128002742,-12.58588213,3.128002742,-12.64191477,3.128002742,-12.70532408,3.128002742,-12.5864262,3.128002742,-12.59711353,3.128002742,-12.66926089,3.128002742,-12.60091612,
3.137762579,-12.49977809,3.137762579,-12.63816432,3.137762579,-12.69656745,3.137762579,-12.79407724,3.137762579,-12.52161374,3.137762579,-12.56628305,3.137762579,-12.66365062,3.137762579,-12.61050774,
3.147307897,-12.39766289,3.147307897,-12.58233945,3.147307897,-12.59420367,3.147307897,-12.69879121,3.147307897,-12.46050823,3.147307897,-12.58957933,3.147307897,-12.55432615,3.147307897,-12.63224311,
3.156647923,-12.43043602,3.156647923,-12.59930403,3.156647923,-12.64306881,3.156647923,-12.58570056,3.156647923,-12.54585121,3.156647923,-12.61901854,3.156647923,-12.52180128,3.156647923,-12.67788558,
3.165791302,-12.50682889,3.165791302,-12.67781108,3.165791302,-12.60592063,3.165791302,-12.61773331,3.165791302,-12.53739053,3.165791302,-12.52798598,3.165791302,-12.61337313,3.165791302,-12.65701343,
3.174746145,-12.53493839,3.174746145,-12.6207264,3.174746145,-12.5939357,3.174746145,-12.71713932,3.174746145,-12.53198561,3.174746145,-12.57686303,3.174746145,-12.5696136,3.174746145,-12.62815506,
3.183520069,-12.50723759,3.183520069,-12.57725071,3.183520069,-12.63499596,3.183520069,-12.64076108,3.183520069,-12.56498042,3.183520069,-12.6264947,3.183520069,-12.61950871,3.183520069,-12.59654248,
3.192120241,-12.50040416,3.192120241,-12.56948007,3.192120241,-12.66224381,3.192120241,-12.62539093,3.192120241,-12.6370926,3.192120241,-12.55108142,3.192120241,-12.57405235,3.192120241,-12.57935898,
3.200553409,-12.56537328,3.200553409,-12.52780302,3.200553409,-12.62560583,3.200553409,-12.70747901,3.200553409,-12.68333667,3.200553409,-12.58124278,3.200553409,-12.5189964,3.200553409,-12.58928469,
3.208825935,-12.60742408,3.208825935,-12.59828758,3.208825935,-12.63057315,3.208825935,-12.69345556,3.208825935,-12.67367813,3.208825935,-12.61522001,3.208825935,-12.55710946,3.208825935,-12.58110868,
3.216943825,-12.59586618,3.216943825,-12.60626911,3.216943825,-12.67283932,3.216943825,-12.62979101,3.216943825,-12.6582941,3.216943825,-12.67954388,3.216943825,-12.55195598,3.216943825,-12.59632365,
3.224912755,-12.55575327,3.224912755,-12.59199751,3.224912755,-12.64234728,3.224912755,-12.66925355,3.224912755,-12.64638118,3.224912755,-12.65054458,3.224912755,-12.56763924,3.224912755,-12.62657381,
3.232738092,-12.60433617,3.232738092,-12.6335207,3.232738092,-12.61714771,3.232738092,-12.72262423,3.232738092,-12.64505297,3.232738092,-12.6437547,3.232738092,-12.62499217,3.232738092,-12.65128216,
3.240424921,-12.57634317,3.240424921,-12.62948754,3.240424921,-12.59614383,3.240424921,-12.62321292,3.240424921,-12.5922689,3.240424921,-12.59697443,3.240424921,-12.61438821,3.240424921,-12.62489646,
3.247978059,-12.60251571,3.247978059,-12.5961596,3.247978059,-12.60193273,3.247978059,-12.61830124,3.247978059,-12.59626539,3.247978059,-12.61034197,3.247978059,-12.61413543,3.247978059,-12.59875992,
3.255402077,-12.51640224,3.255402077,-12.60850189,3.255402077,-12.52533855,3.255402077,-12.74097209,3.255402077,-12.5860804,3.255402077,-12.60094661,3.255402077,-12.60504536,3.255402077,-12.64785723,
3.262701315,-12.53646109,3.262701315,-12.62284723,3.262701315,-12.55923759,3.262701315,-12.71894574,3.262701315,-12.60841493,3.262701315,-12.59892001,3.262701315,-12.61150742,3.262701315,-12.64392117,
3.2698799,-12.54516118,3.2698799,-12.64667754,3.2698799,-12.63984836,3.2698799,-12.65259883,3.2698799,-12.54556342,3.2698799,-12.59862331,3.2698799,-12.66749073,3.2698799,-12.55734581,
3.276941755,-12.53987516,3.276941755,-12.60368618,3.276941755,-12.66203447,3.276941755,-12.6487012,3.276941755,-12.60743255,3.276941755,-12.53611544,3.276941755,-12.66114866,3.276941755,-12.52011908,
3.283890614,-12.54591853,3.283890614,-12.62906612,3.283890614,-12.64113968,3.283890614,-12.66892091,3.283890614,-12.56796929,3.283890614,-12.52111475,3.283890614,-12.69161813,3.283890614,-12.59598485,
3.290730039,-12.56404548,3.290730039,-12.71143207,3.290730039,-12.64041707,3.290730039,-12.66950341,3.290730039,-12.53387903,3.290730039,-12.58111449,3.290730039,-12.64344468,3.290730039,-12.70647689,
3.297463422,-12.51563375,3.297463422,-12.61364816,3.297463422,-12.72757068,3.297463422,-12.65511486,3.297463422,-12.58152334,3.297463422,-12.63045082,3.297463422,-12.60958177,3.297463422,-12.6943191,
3.304094001,-12.51945428,3.304094001,-12.58968447,3.304094001,-12.60977315,3.304094001,-12.69596559,3.304094001,-12.58933269,3.304094001,-12.63594112,3.304094001,-12.6855052,3.304094001,-12.5459376,
3.310624868,-12.54401578,3.310624868,-12.5901508,3.310624868,-12.61163471,3.310624868,-12.60684456,3.310624868,-12.61358885,3.310624868,-12.6189504,3.310624868,-12.70708224,3.310624868,-12.52412742,
3.317058978,-12.56703038,3.317058978,-12.6209165,3.317058978,-12.60368433,3.317058978,-12.61643174,3.317058978,-12.62314559,3.317058978,-12.58323636,3.317058978,-12.69624325,3.317058978,-12.54421375,
3.323399156,-12.54681676,3.323399156,-12.60984198,3.323399156,-12.648742,3.323399156,-12.63448477,3.323399156,-12.60254502,3.323399156,-12.60459544,3.323399156,-12.67585254,3.323399156,-12.63398284,
3.329648105,-12.51114217,3.329648105,-12.65429648,3.329648105,-12.60951031,3.329648105,-12.71132894,3.329648105,-12.57795028,3.329648105,-12.6054515,3.329648105,-12.633288,3.329648105,-12.6324953,
3.335808414,-12.55444903,3.335808414,-12.59265442,3.335808414,-12.54105512,3.335808414,-12.73359349,3.335808414,-12.5840384,3.335808414,-12.5618975,3.335808414,-12.55751708,3.335808414,-12.61262694,
3.341882561,-12.54117051,3.341882561,-12.61091553,3.341882561,-12.6186415,3.341882561,-12.62977683,3.341882561,-12.5626792,3.341882561,-12.62471758,3.341882561,-12.59546993,3.341882561,-12.65697748,
3.347872925,-12.57596285,3.347872925,-12.6804572,3.347872925,-12.63346093,3.347872925,-12.64508565,3.347872925,-12.54710726,3.347872925,-12.62294211,3.347872925,-12.63827248,3.347872925,-12.67332322,
3.353781785,-12.56835894,3.353781785,-12.6210304,3.353781785,-12.60990737,3.353781785,-12.73065003,3.353781785,-12.56210917,3.353781785,-12.62868654,3.353781785,-12.67824544,3.353781785,-12.63688904,
3.359611328,-12.59790093,3.359611328,-12.65688484,3.359611328,-12.56765261,3.359611328,-12.70689252,3.359611328,-12.60080562,3.359611328,-12.607179,3.359611328,-12.66436521,3.359611328,-12.65107711,
3.365363657,-12.53861382,3.365363657,-12.66547319,3.365363657,-12.62716806,3.365363657,-12.74098479,3.365363657,-12.62170706,3.365363657,-12.57626167,3.365363657,-12.66812868,3.365363657,-12.6670732,
3.37104079,-12.51759373,3.37104079,-12.65315051,3.37104079,-12.61939648,3.37104079,-12.65795042,3.37104079,-12.67273062,3.37104079,-12.60335438,3.37104079,-12.65748184,3.37104079,-12.63883023,
3.376644668,-12.56034047,3.376644668,-12.65740495,3.376644668,-12.63526784,3.376644668,-12.62539273,3.376644668,-12.58402165,3.376644668,-12.59790427,3.376644668,-12.62966978,3.376644668,-12.59508664,
3.382177156,-12.57795935,3.382177156,-12.60292911,3.382177156,-12.56741487,3.382177156,-12.65049693,3.382177156,-12.53375549,3.382177156,-12.58240788,3.382177156,-12.63940116,3.382177156,-12.55305468,
3.387640052,-12.51967514,3.387640052,-12.63674041,3.387640052,-12.5617423,3.387640052,-12.69484202,3.387640052,-12.53946584,3.387640052,-12.53845675,3.387640052,-12.60790508,3.387640052,-12.61656063,
3.393035084,-12.4720177,3.393035084,-12.60359752,3.393035084,-12.59845519,3.393035084,-12.66917044,3.393035084,-12.6134855,3.393035084,-12.54462976,3.393035084,-12.62989522,3.393035084,-12.6529961,
3.398363917,-12.50073252,3.398363917,-12.60511236,3.398363917,-12.66520029,3.398363917,-12.59582131,3.398363917,-12.59492692,3.398363917,-12.60303934,3.398363917,-12.63532979,3.398363917,-12.65390067,
3.403628157,-12.55640586,3.403628157,-12.60329082,3.403628157,-12.67045791,3.403628157,-12.67337694,3.403628157,-12.57999861,3.403628157,-12.65195148,3.403628157,-12.60134778,3.403628157,-12.70899668,
3.408829351,-12.53476035,3.408829351,-12.61680474,3.408829351,-12.62756821,3.408829351,-12.69661342,3.408829351,-12.57842998,3.408829351,-12.58431369,3.408829351,-12.56630607,3.408829351,-12.69225608,
3.413968991,-12.49105633,3.413968991,-12.64444822,3.413968991,-12.58057327,3.413968991,-12.73207072,3.413968991,-12.51423987,3.413968991,-12.59801333,3.413968991,-12.61584809,3.413968991,-12.62417177,
3.419048516,-12.57285349,3.419048516,-12.59894958,3.419048516,-12.55763225,3.419048516,-12.68109708,3.419048516,-12.58022324,3.419048516,-12.57774978,3.419048516,-12.62006885,3.419048516,-12.61807603,
3.424069318,-12.56846784,3.424069318,-12.62869934,3.424069318,-12.55247359,3.424069318,-12.59788638,3.424069318,-12.59725941,3.424069318,-12.49428473,3.424069318,-12.64304455,3.424069318,-12.54144992,
3.429032737,-12.5463685,3.429032737,-12.65466464,3.429032737,-12.59090787,3.429032737,-12.67065924,3.429032737,-12.58268271,3.429032737,-12.47036818,3.429032737,-12.59193928,3.429032737,-12.64201073,
3.433940072,-12.60150341,3.433940072,-12.57671166,3.433940072,-12.60137339,3.433940072,-12.70404952,3.433940072,-12.6435796,3.433940072,-12.57157756,3.433940072,-12.60036524,3.433940072,-12.63418092,
3.438792574,-12.58079566,3.438792574,-12.57953647,3.438792574,-12.58827662,3.438792574,-12.61479738,3.438792574,-12.5877561,3.438792574,-12.59214035,3.438792574,-12.62908657,3.438792574,-12.61736789,
3.443591457,-12.48798969,3.443591457,-12.57408262,3.443591457,-12.61412278,3.443591457,-12.57099743,3.443591457,-12.54114378,3.443591457,-12.62566843,3.443591457,-12.63360797,3.443591457,-12.59293374,
3.448337892,-12.55316352,3.448337892,-12.59508563,3.448337892,-12.6152759,3.448337892,-12.61456836,3.448337892,-12.59776772,3.448337892,-12.62229152,3.448337892,-12.61753208,3.448337892,-12.64489156,
3.453033014,-12.51660887,3.453033014,-12.5959736,3.453033014,-12.56449592,3.453033014,-12.64703618,3.453033014,-12.56263979,3.453033014,-12.6918905,3.453033014,-12.65312884,3.453033014,-12.67648225,
3.457677919,-12.48842814,3.457677919,-12.56502355,3.457677919,-12.6514517,3.457677919,-12.70708525,3.457677919,-12.63094737,3.457677919,-12.68724336,3.457677919,-12.69042174,3.457677919,-12.61845544,
3.46227367,-12.47392026,3.46227367,-12.56803221,3.46227367,-12.69878785,3.46227367,-12.62531499,3.46227367,-12.62616335,3.46227367,-12.55816643,3.46227367,-12.6252392,3.46227367,-12.63081867,
3.466821298,-12.55003183,3.466821298,-12.63001895,3.466821298,-12.65476124,3.466821298,-12.64800183,3.466821298,-12.55068884,3.466821298,-12.61271004,3.466821298,-12.57912865,3.466821298,-12.59989803,
3.471321799,-12.57346188,3.471321799,-12.64273333,3.471321799,-12.63817646,3.471321799,-12.64021664,3.471321799,-12.5041762,3.471321799,-12.63450604,3.471321799,-12.63746214,3.471321799,-12.57552104,
3.475776141,-12.54492065,3.475776141,-12.64605633,3.475776141,-12.62999405,3.475776141,-12.65933546,3.475776141,-12.52073095,3.475776141,-12.60437366,3.475776141,-12.64083153,3.475776141,-12.55843952,
3.48018526,-12.62019974,3.48018526,-12.59252114,3.48018526,-12.63392359,3.48018526,-12.65573842,3.48018526,-12.57325589,3.48018526,-12.56695812,3.48018526,-12.68340232,3.48018526,-12.52745511,
3.484550065,-12.51722807,3.484550065,-12.66889651,3.484550065,-12.57372848,3.484550065,-12.64367178,3.484550065,-12.57527992,3.484550065,-12.54328088,3.484550065,-12.6307859,3.484550065,-12.61659389,
3.488871439,-12.52189178,3.488871439,-12.65410293,3.488871439,-12.6226433,3.488871439,-12.69746808,3.488871439,-12.54233534,3.488871439,-12.55137605,3.488871439,-12.61669649,3.488871439,-12.60778498,
3.493150237,-12.54108614,3.493150237,-12.64840874,3.493150237,-12.71060259,3.493150237,-12.63884215,3.493150237,-12.56857752,3.493150237,-12.60133767,3.493150237,-12.67629471,3.493150237,-12.62982949,
3.49738729,-12.54141289,3.49738729,-12.66543348,3.49738729,-12.57906468,3.49738729,-12.61631884,3.49738729,-12.55884929,3.49738729,-12.57890428,3.49738729,-12.64814541,3.49738729,-12.59388915,
3.501583404,-12.49331692,3.501583404,-12.59160801,3.501583404,-12.56665901,3.501583404,-12.62231419,3.501583404,-12.56582126,3.501583404,-12.6196102,3.501583404,-12.68411483,3.501583404,-12.62197476,
3.505739364,-12.50402573,3.505739364,-12.59686265,3.505739364,-12.64754005,3.505739364,-12.63196079,3.505739364,-12.60774906,3.505739364,-12.64033206,3.505739364,-12.63770609,3.505739364,-12.58895582,
3.50985593,-12.57866225,3.50985593,-12.56588704,3.50985593,-12.6266844,3.50985593,-12.61267028,3.50985593,-12.57533567,3.50985593,-12.67736814,3.50985593,-12.6394524,3.50985593,-12.60831518,
3.513933843,-12.60806996,3.513933843,-12.57861244,3.513933843,-12.54335799,3.513933843,-12.63303363,3.513933843,-12.61953388,3.513933843,-12.62379488,3.513933843,-12.62001079,3.513933843,-12.6258443,
3.517973821,-12.56558372,3.517973821,-12.60180284,3.517973821,-12.56378928,3.517973821,-12.67665657,3.517973821,-12.63925913,3.517973821,-12.62843695,3.517973821,-12.62758131,3.517973821,-12.64008695,
3.521976563,-12.51578337,3.521976563,-12.65889463,3.521976563,-12.62758289,3.521976563,-12.69471114,3.521976563,-12.63107286,3.521976563,-12.62676655,3.521976563,-12.61680154,3.521976563,-12.61709343,
3.52594275,-12.47444039,3.52594275,-12.65716322,3.52594275,-12.58480537,3.52594275,-12.60727796,3.52594275,-12.52691777,3.52594275,-12.61853864,3.52594275,-12.60490773,3.52594275,-12.59352735,
3.529873044,-12.51673043,3.529873044,-12.66852598,3.529873044,-12.52391429,3.529873044,-12.61156759,3.529873044,-12.54457396,3.529873044,-12.58599482,3.529873044,-12.56167537,3.529873044,-12.55253523,
3.533768088,-12.5497697,3.533768088,-12.72118437,3.533768088,-12.65231689,3.533768088,-12.6924036,3.533768088,-12.60939541,3.533768088,-12.56847649,3.533768088,-12.53775347,3.533768088,-12.57696966,
3.537628509,-12.63182041,3.537628509,-12.65988211,3.537628509,-12.73466919,3.537628509,-12.65369029,3.537628509,-12.61187161,3.537628509,-12.55314726,3.537628509,-12.63960898,3.537628509,-12.55260995,
3.541454916,-12.67345074,3.541454916,-12.6010694,3.541454916,-12.67069208,3.541454916,-12.69150789,3.541454916,-12.58559522,3.541454916,-12.62874689,3.541454916,-12.73477655,3.541454916,-12.57599404,
3.545247905,-12.62713551,3.545247905,-12.5582075,3.545247905,-12.6542254,3.545247905,-12.66908577,3.545247905,-12.58068257,3.545247905,-12.68216929,3.545247905,-12.71462719,3.545247905,-12.61278955,
3.549008054,-12.61494561,3.549008054,-12.52163777,3.549008054,-12.61619636,3.549008054,-12.67546682,3.549008054,-12.61101877,3.549008054,-12.59286064,3.549008054,-12.62811404,3.549008054,-12.67095404,
3.552735927,-12.52198021,3.552735927,-12.58284579,3.552735927,-12.58138854,3.552735927,-12.64316612,3.552735927,-12.60635321,3.552735927,-12.56314881,3.552735927,-12.55220891,3.552735927,-12.61188579,
3.556432072,-12.47129039,3.556432072,-12.7018471,3.556432072,-12.54936567,3.556432072,-12.65049768,3.556432072,-12.5165237,3.556432072,-12.59549381,3.556432072,-12.65825923,3.556432072,-12.60318097,
3.560097026,-12.49374505,3.560097026,-12.61020937,3.560097026,-12.53036566,3.560097026,-12.67415472,3.560097026,-12.57456577,3.560097026,-12.62176736,3.560097026,-12.61749798,3.560097026,-12.60955146,
3.563731311,-12.58901272,3.563731311,-12.53121488,3.563731311,-12.56709784,3.563731311,-12.71438921,3.563731311,-12.64904871,3.563731311,-12.61205577,3.563731311,-12.58513761,3.563731311,-12.6207994,
3.567335435,-12.60937472,3.567335435,-12.5980783,3.567335435,-12.61878119,3.567335435,-12.73332355,3.567335435,-12.59315974,3.567335435,-12.54654155,3.567335435,-12.62793602,3.567335435,-12.57843634,
3.570909896,-12.50627962,3.570909896,-12.68887932,3.570909896,-12.62023197,3.570909896,-12.76122377,3.570909896,-12.59311728,3.570909896,-12.5271234,3.570909896,-12.61154355,3.570909896,-12.62967297,
3.574455176,-12.54308872,3.574455176,-12.58524794,3.574455176,-12.58232715,3.574455176,-12.72820136,3.574455176,-12.55337643,3.574455176,-12.61137424,3.574455176,-12.68464642,3.574455176,-12.62757535,
3.57797175,-12.56456047,3.57797175,-12.56326778,3.57797175,-12.55532729,3.57797175,-12.66589174,3.57797175,-12.51777926,3.57797175,-12.58947808,3.57797175,-12.70616175,3.57797175,-12.65487384,
3.581460078,-12.57968878,3.581460078,-12.61940728,3.581460078,-12.54004889,3.581460078,-12.71111274,3.581460078,-12.64098218,3.581460078,-12.51355362,3.581460078,-12.65302256,3.581460078,-12.6495337,
3.58492061,-12.58818867,3.58492061,-12.61989109,3.58492061,-12.50277867,3.58492061,-12.72123993,3.58492061,-12.51737411,3.58492061,-12.52980666,3.58492061,-12.58532428,3.58492061,-12.65081457,
3.588353786,-12.56985245,3.588353786,-12.66240135,3.588353786,-12.55087111,3.588353786,-12.70234538,3.588353786,-12.5089657,3.588353786,-12.5401617,3.588353786,-12.59383451,3.588353786,-12.6114307,
3.591760035,-12.47156903,3.591760035,-12.64384348,3.591760035,-12.59018617,3.591760035,-12.64679425,3.591760035,-12.59217144,3.591760035,-12.49758215,3.591760035,-12.65696174,3.591760035,-12.60485365,
3.595139775,-12.515718,3.595139775,-12.64138565,3.595139775,-12.52193945,3.595139775,-12.72026707,3.595139775,-12.62350823,3.595139775,-12.56470543,3.595139775,-12.66079027,3.595139775,-12.62924425,
3.598493417,-12.53447126,3.598493417,-12.703611,3.598493417,-12.52154775,3.598493417,-12.67547402,3.598493417,-12.58714953,3.598493417,-12.63908198,3.598493417,-12.61504927,3.598493417,-12.64199513,
